UUID,category,votes,id
1feaa0886fd5f22ae5446fe6d9af9a0e0a936b3d65d79364b02a7b06f59aa1607,selfpromo,1,185
88e7cb63525f671b874af49b122b0ac6b5350018d3911e1cfce78394377b34ec7,sponsor,1,186
88e7cb63525f671b874af49b122b0ac6b5350018d3911e1cfce78394377b34ec7,selfpromo,1,187
97732cad36828fe15343973cfe5750afe6420e2c8dc9f0753764c091d228b1417,sponsor,2,168
97732cad36828fe15343973cfe5750afe6420e2c8dc9f0753764c091d228b1417,selfpromo,0,169
a07f42d14841c1b37574d61eb3ff78519e60378673b34cee7b03564dbbbc71147,sponsor,2,170
a07f42d14841c1b37574d61eb3ff78519e60378673b34cee7b03564dbbbc71147,selfpromo,0,171
4de86df21cc3dfc4b75c6e2147c8ea4fbf93ee75fc757357c04eb859f21d21597,sponsor,2,172
4de86df21cc3dfc4b75c6e2147c8ea4fbf93ee75fc757357c04eb859f21d21597,selfpromo,0,173
6577c650544cbb15c78193fc9071f9a6fa7c4dd848917bc798aeeb14d7fa87df7,sponsor,2,174
6577c650544cbb15c78193fc9071f9a6fa7c4dd848917bc798aeeb14d7fa87df7,selfpromo,0,175
577d9624028c276269822cf44eb1c6cf083030bf8f713e5456efae5ecfd30c1d7,sponsor,2,176
6e304ca24c47f9a97a0a5278409a91c46176187adf23d0ee038d2e053be6d5e87,sponsor,1,188
6e304ca24c47f9a97a0a5278409a91c46176187adf23d0ee038d2e053be6d5e87,selfpromo,1,189
a1a953bec14ae8db03d0b8d5fb4256c00a3066254c5dfcae82350181b5eac0b87,intro,1,190
a1a953bec14ae8db03d0b8d5fb4256c00a3066254c5dfcae82350181b5eac0b87,outro,1,191
f2a5cb28df63dfc27d98bcab2b7cd1a0d3ba27e02f165bedd24267f081087d9d7,outro,1,192
f2a5cb28df63dfc27d98bcab2b7cd1a0d3ba27e02f165bedd24267f081087d9d7,selfpromo,1,193
f983339557337b1551af8370de49414a3dbaf8582edaf9985ef93907514d7f837,outro,1,194
f983339557337b1551af8370de49414a3dbaf8582edaf9985ef93907514d7f837,selfpromo,1,195
25bb81bc80b353bec4390634eeea2a3cf8155bafee74fb8ddfb818aeadca9a377,sponsor,1,196
815385b4e472afa0135555d279d7c46faa3ea626984cf97aa1ca422712ac399f7,intro,1,197
815385b4e472afa0135555d279d7c46faa3ea626984cf97aa1ca422712ac399f7,outro,1,198
cd3e3b0eadf2a54c3362bd6dc3db3e1748947abef67181eaa9091bcb405757f67,sponsor,2,199
cd3e3b0eadf2a54c3362bd6dc3db3e1748947abef67181eaa9091bcb405757f67,selfpromo,0,200
cc29df569e26663b6e0c42f0c7f3f7dc5c4263291c2386b2219b51c5d18968b57,sponsor,1,201
cc29df569e26663b6e0c42f0c7f3f7dc5c4263291c2386b2219b51c5d18968b57,selfpromo,1,202
a10fb59e2b90afa359cc1a1dd22a355794f1386f52fbccdf8c6904613665d0577,sponsor,2,203
a10fb59e2b90afa359cc1a1dd22a355794f1386f52fbccdf8c6904613665d0577,selfpromo,0,204
f7d9001af83bc75bce60a6838c8fbd81b29d0d60ad8b1fd23eb1149555739afa7,interaction,1,205
f7d9001af83bc75bce60a6838c8fbd81b29d0d60ad8b1fd23eb1149555739afa7,outro,1,206
4acc36252fb332b7a834e2f5d838715ceb990b87735ddcd051923a84a0ac8be07,outro,1,207
4acc36252fb332b7a834e2f5d838715ceb990b87735ddcd051923a84a0ac8be07,sponsor,1,208
a663a167567817dcee3255a9e7e1631a12f11c5a6d8d8fe2e33b8754f52f24947,sponsor,1,209
0db9bebbab0bbf8e72b430a1eec423fff06e388514ecdcdc0778ae6be50b11187,sponsor,1,210
0db9bebbab0bbf8e72b430a1eec423fff06e388514ecdcdc0778ae6be50b11187,selfpromo,1,211
1b3e6a1129d65d986790d212c5768247a4ace4407948195d8d15c14e4772194b7,sponsor,1,212
1b3e6a1129d65d986790d212c5768247a4ace4407948195d8d15c14e4772194b7,selfpromo,1,213
2c32aebaa90ae1a79b3e7f1dcd6cdd6950f28187342ad43050294c380ad6c12b7,preview,1,214
2c32aebaa90ae1a79b3e7f1dcd6cdd6950f28187342ad43050294c380ad6c12b7,music_offtopic,1,215
5cd20cdc4eaf6e096674a7fedf64bd99cfab4460cd98a6fc44148aacc1002f4a7,selfpromo,1,216
5cd20cdc4eaf6e096674a7fedf64bd99cfab4460cd98a6fc44148aacc1002f4a7,sponsor,1,217
df9831c33ad0871330af50715d69e715e6126804d72088366489104c040d6ed67,intro,1,218
2f53da3780eb99b89df5e844304ee9cd81ce33f69e97222602dbff990eba5c817,sponsor,1,219
2f53da3780eb99b89df5e844304ee9cd81ce33f69e97222602dbff990eba5c817,selfpromo,1,220
61021acde32f6b9430bbab630fa332564969600164d333a4f98dad3519cb92937,sponsor,1,221
61021acde32f6b9430bbab630fa332564969600164d333a4f98dad3519cb92937,selfpromo,1,222
412335bd97478cd61f319ff2e51936b071f2b4356c257e63d2a6f8ec07fd73137,preview,1,223
412335bd97478cd61f319ff2e51936b071f2b4356c257e63d2a6f8ec07fd73137,selfpromo,1,224
e6bd10285fd545d2a0838ed20a0ca1212b2c03d76cce93633ad7411f32f7f65a7,intro,1,225
e6bd10285fd545d2a0838ed20a0ca1212b2c03d76cce93633ad7411f32f7f65a7,outro,1,226
5799ee0b88b2c7d351ed7047a1b6479f0be4a779eb2e527b099d2faf722f1a5c7,sponsor,1,227
086bec02442060b13dfdfa3c832b51588badb8c7dd4a1c772e5ff093b8cb4e907,filler,1,228
086bec02442060b13dfdfa3c832b51588badb8c7dd4a1c772e5ff093b8cb4e907,selfpromo,1,229
94c55f43056b364f81c810391d102a6e52ed6824dcd523ffb3d7842c662027917,sponsor,1,230
ba4d6b558933e5ed20a4a5c182d38308a96836d8cdbfa58488888b1f18943acf7,selfpromo,1,231
ba4d6b558933e5ed20a4a5c182d38308a96836d8cdbfa58488888b1f18943acf7,sponsor,1,232
729b850f053835bf78eaf34d98d3330a41f4e7cc0f3bacf0314414cd465055d27,sponsor,1,233
729b850f053835bf78eaf34d98d3330a41f4e7cc0f3bacf0314414cd465055d27,selfpromo,1,234
c609a1a86cc42d05d70e45daffbcd8aa658ab1d7e6cbfc113c8e5b94a080c2bf7,sponsor,1,235
438d57621c17f0d99b8affedbd16c63acad229e70bd7729a8c9412579ca802187,filler,2,237
